Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
en,0.9056155884224599,4,0.4048082141137649,0,1,"knight, horse",0,2,7,5.5,0.2,3.83e-05,3.5,0.249999999999975,0.2,0.35714285714280614,0.07747275897678091,0.0,0.09090909090908264,0.28571428571427215,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.8451919501187741,4,0.27890680760748265,0,0,"knight, horse",0,1,8,7.0,0.198,3.63e-05,8.0,0.41666666666663194,0.198,0.538461538461497,0.04424959471576674,0.0,0.0,0.4999999999999643,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
it,0.7380931293016577,4,0.08737606515518198,0,0,"knight, horse",0,1,7,7.0,0.198,4.68e-05,7.0,0.3571428571428316,0.198,0.35483870967739645,0.047974456062402165,0.0,0.0,0.07812499999999879,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.9107136759782104,4,0.4056007317320591,0,1,"memorial, monument",8,1,3,9.0,0.206,1.74e-05,3.0,0.5833333333332847,0.206,0.153846153846142,0.020127375502383662,0.21621621621621037,0.0,0.14285714285713266,memorial,a structure erected to commemorate persons or events,i56131
nb,0.8652866073715235,4,0.0003857139200434187,0,0,"memorial, monument",0,1,1,11.0,0.858,1.38e-06,1.0,0.999999999999875,0.858,0.0,0.0019112859783706215,0.0,0.0,0.0,memorial,a structure erected to commemorate persons or events,i56131
it,0.857589356687205,4,0.05394339572433725,0,0,"memorial, monument",9,2,4,16.0,0.5075000000000001,1.077e-05,2.0,0.9999999999999286,0.5075000000000001,0.03225806451612695,0.010205814452290947,0.12328767123287503,0.09090909090908264,0.031249999999999514,memorial,a structure erected to commemorate persons or events,i56131
en,0.850181164169966,4,0.1583213302228909,0,0,"memorial, monument",12,2,6,8.0,0.5315,1.682e-05,3.0,0.49999999999995,0.5315,0.2857142857142449,0.029804043341683403,0.0599999999999997,0.09090909090908264,0.23809523809522679,memorial,a structure erected to commemorate persons or events,i56131
es,0.9497049510417968,4,0.40669056155263034,0,1,monastery,3,2,3,9.0,0.8280000000000001,1.3000000000000001e-05,1.5,0.5833333333332847,0.8280000000000001,0.0384615384615355,0.014511620764876491,0.08108108108107888,0.2499999999999375,0.14285714285713266,monastery,the residence of a religious community,i56337
nb,0.8564906066121126,4,0.09350493694457282,0,0,monastery,1,1,2,7.0,0.885,4.9e-06,2.0,0.4999999999999375,0.885,0.11111111111109877,0.006998413875432693,0.19999999999996,0.0,0.08333333333332639,monastery,the residence of a religious community,i56337
it,0.8532084323671532,4,0.09562945242274527,0,0,monastery,2,2,10,8.5,0.813,1.4e-05,5.0,0.4642857142856811,0.813,0.22580645161288865,0.01359167935378024,0.02739726027397223,0.09090909090908264,0.12499999999999806,monastery,the residence of a religious community,i56337
en,0.783027423846448,4,0.003726633769165616,0,0,monastery,4,1,1,9.0,0.661,4.47e-06,1.0,0.59999999999994,0.661,0.0,0.00239675106545183,0.0199999999999999,0.0,0.0,monastery,the residence of a religious community,i56337
en,0.8114241851350948,4,0.2213560707132351,0,0,mosaic,0,1,6,6.0,0.206,3.8e-06,6.0,0.29999999999997,0.206,0.7142857142856123,0.0009098777192918981,0.0,0.0,0.23809523809522679,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
nb,0.7857691970635136,4,5.723961532792336e-05,0,0,mosaic,0,1,1,7.0,0.799,4.79e-07,1.0,0.4999999999999375,0.799,0.0,0.0006091546615374043,0.0,0.0,0.0,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
es,0.7432922594773071,4,0.11909221151670146,0,0,mosaic,0,1,4,7.0,0.2,2.75e-06,4.0,0.41666666666663194,0.2,0.23076923076921302,0.0014294648422745531,0.0,0.0,0.21428571428569898,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
it,0.6924277573327655,4,0.046846012430418416,0,0,mosaic,0,2,6,7.0,0.2025,2.625e-06,3.0,0.3571428571428316,0.2025,0.09677419354838085,0.001667774321445655,0.0,0.09090909090908264,0.06249999999999903,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
en,0.9937848799949005,4,0.8707133177354953,1,1,"picture, painting",20,2,14,7.5,0.771,8.74e-05,7.0,0.449999999999955,0.771,0.8571428571427346,0.18643616389685944,0.0999999999999995,0.09090909090908264,0.6190476190475896,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
es,0.9693153512659919,4,0.6139140387354679,0,1,"picture, painting",3,2,10,6.5,0.7545,3.43e-05,5.0,0.37499999999996875,0.7545,0.307692307692284,0.04169697892599075,0.08108108108107888,0.2499999999999375,0.6428571428570969,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
it,0.9319454016209657,4,0.33485408478325335,0,1,"picture, painting",16,2,8,6.5,0.698,3.195e-05,4.0,0.32142857142854847,0.698,0.16129032258063475,0.03240786355865108,0.21917808219177784,0.09090909090908264,0.09374999999999854,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
nb,0.8895845254406701,4,0.23567411693899695,0,1,"picture, painting",0,1,1,6.0,0.704,5.25e-06,1.0,0.37499999999995315,0.704,0.0,0.007504236251561023,0.0,0.0,0.0,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
nb,0.9236056867386796,4,0.23601528429712013,0,1,"terrace, patio",0,1,1,8.0,0.861,4.47e-06,1.0,0.6249999999999218,0.861,0.0,0.006376974956189316,0.0,0.0,0.0,terrace,usually paved outdoor area adjoining a residence,i57055
it,0.790172314865394,4,0.05972849933358283,0,0,"terrace, patio",0,3,7,7.0,0.6557499999999999,5.5569999999999995e-06,2.25,0.3571428571428316,0.6557499999999999,0.048387096774190425,0.004741259117472469,0.0,0.18181818181816528,0.07812499999999879,terrace,usually paved outdoor area adjoining a residence,i57055
en,0.7705772570145323,4,0.0881386679448539,0,0,"terrace, patio",1,2,4,6.0,0.526,5.17e-06,2.0,0.29999999999997,0.526,0.14285714285712245,0.003950200830096533,0.004999999999999975,0.09090909090908264,0.14285714285713608,terrace,usually paved outdoor area adjoining a residence,i57055
es,0.6532388439526464,3,0.04003675841242754,0,0,"terrace, patio",0,1,2,5.0,0.205,2.51e-05,2.0,0.24999999999997916,0.205,0.076923076923071,0.029954946293021215,0.0,0.0,0.07142857142856633,terrace,usually paved outdoor area adjoining a residence,i57055
es,0.9361345209763614,4,0.34443544120034364,0,1,sculpture,5,1,2,9.0,0.811,7.24e-06,2.0,0.5833333333332847,0.811,0.076923076923071,0.007160087290321646,0.13513513513513148,0.0,0.07142857142856633,sculpture,a three-dimensional work of plastic art,i58585
nb,0.8723964689951839,4,0.09438796441135257,0,0,sculpture,2,1,1,8.0,0.895,1.66e-06,1.0,0.6249999999999218,0.895,0.0,0.0023159438792732866,0.39999999999992,0.0,0.0,sculpture,a three-dimensional work of plastic art,i58585
en,0.8323559113579423,4,0.055007161907240566,0,0,sculpture,9,1,2,9.0,0.756,8.32e-06,2.0,0.59999999999994,0.756,0.14285714285712245,0.010940724770997704,0.044999999999999776,0.0,0.047619047619045354,sculpture,a three-dimensional work of plastic art,i58585
it,0.8193822779804671,4,0.04144194256634957,0,0,sculpture,8,1,3,8.0,0.852,1.02e-05,3.0,0.42857142857139796,0.852,0.09677419354838085,0.009608308881439896,0.10958904109588892,0.0,0.015624999999999757,sculpture,a three-dimensional work of plastic art,i58585
es,0.8586960244935717,4,0.0004455889074804986,0,0,ski,0,1,1,14.0,0.802,3.59e-06,1.0,0.9999999999999166,0.802,0.0,0.0025015634739804678,0.0,0.0,0.0,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
nb,0.7817867908589223,4,0.235208141768469,0,1,ski,0,1,1,3.0,0.185,6.31e-05,1.0,0.0,0.185,0.0,0.09110944899162944,0.0,0.0,0.0,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
it,0.6164428934183056,3,0.03728079987334539,0,0,ski,1,1,4,3.0,0.185,1.23e-05,4.0,0.07142857142856633,0.185,0.16129032258063475,0.011809645195101665,0.013698630136986115,0.0,0.031249999999999514,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
en,0.6026301628095543,2,0.0,0,0,ski,1,1,1,3.0,0.389,1.35e-05,1.0,0.0,0.389,0.0,0.022436253029368514,0.004999999999999975,0.0,0.0,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
es,0.9208140223000154,4,0.41180028415857245,0,0,statue,0,2,13,6.5,0.5045,3.59e-05,6.5,0.37499999999996875,0.5045,0.42307692307689054,0.043739071557811544,0.0,0.2499999999999375,0.8571428571427959,statue,a sculpture representing a human or animal,i59503
nb,0.8824186592992601,4,0.09828273927404875,0,0,statue,0,2,2,9.0,0.847,1.35115e-06,1.0,0.7499999999999063,0.847,0.0,0.0018695917625097577,0.0,0.33333333333322224,0.08333333333332639,statue,a sculpture representing a human or animal,i59503
en,0.769195333947403,4,0.008185748914138117,0,0,statue,7,1,1,6.0,0.849,1.23e-05,1.0,0.29999999999997,0.849,0.0,0.019773196289977597,0.03499999999999982,0.0,0.0,statue,a sculpture representing a human or animal,i59503
it,0.7468760118711479,4,0.003299220453994467,0,0,statue,1,1,2,6.0,0.729,2.14e-05,2.0,0.2857142857142653,0.729,0.03225806451612695,0.02134876922096933,0.013698630136986115,0.0,0.0,statue,a sculpture representing a human or animal,i59503
en,0.967702817712999,4,0.5864076990373823,0,1,"sword, steel, brand",8,4,19,5.0,0.599,4.743333333333333e-05,3.3333333333333335,0.19999999999998,0.599,0.33333333333328574,0.09774157971547846,0.0399999999999998,0.27272727272724795,0.8571428571428164,sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
nb,0.8491341074865032,4,0.235664251695455,0,1,"sword, steel, brand",0,1,1,5.0,0.461,1.17e-05,1.0,0.24999999999996875,0.461,0.0,0.016825820040211693,0.0,0.0,0.0,sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
it,0.8438601018456643,4,0.20824969441622265,0,0,"sword, steel, brand",4,5,22,5.25,0.4445,2.1635925e-05,5.5,0.23214285714284055,0.4445,0.2580645161290156,0.021596078873255358,0.05479452054794446,0.36363636363633056,0.31249999999999517,sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
es,0.7983606530362621,4,0.0846324563170509,0,0,"sword, steel, brand",6,1,2,6.0,0.707,2.14e-05,2.0,0.33333333333330556,0.707,0.076923076923071,0.025232607081935636,0.16216216216215776,0.0,0.07142857142856633,sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
en,0.8521608379357927,4,0.08997420914491443,0,0,umbrella,1,1,3,8.0,0.856,7.76e-06,3.0,0.49999999999995,0.856,0.2857142857142449,0.009697964959281942,0.004999999999999975,0.0,0.09523809523809071,umbrella,a lightweight handheld collapsible canopy,i60698
it,0.8176863895882359,4,0.058994829769253354,0,0,umbrella,1,3,7,9.25,0.6765,1.5048000000000002e-06,2.0,0.5178571428571058,0.6765,0.03225806451612695,0.0004935186364152199,0.013698630136986115,0.18181818181816528,0.07812499999999879,umbrella,a lightweight handheld collapsible canopy,i60698
nb,0.7916442444131241,4,0.00028034245388731726,0,0,umbrella,0,1,1,7.0,0.832,2.04e-06,1.0,0.4999999999999375,0.832,0.0,0.0028651224590697604,0.0,0.0,0.0,umbrella,a lightweight handheld collapsible canopy,i60698
es,0.7754971237377228,4,0.00046024092407716917,0,0,umbrella,0,1,1,8.0,0.734,6.03e-06,1.0,0.4999999999999583,0.734,0.0,0.005615754737507173,0.0,0.0,0.0,umbrella,a lightweight handheld collapsible canopy,i60698
it,0.9790737016634179,4,0.6136221189924749,1,1,"religion, faith, religious belief",16,2,16,7.0,0.594,5.235e-05,6.333333333333333,0.3571428571428316,0.594,0.31182795698922716,0.053792273462793985,0.21917808219177784,0.09090909090908264,0.2187499999999966,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
es,0.9641160832894864,4,0.6740539398379521,0,1,"religion, faith, religious belief",7,3,10,5.0,0.47433333333333333,4.476666666666666e-05,3.3333333333333335,0.24999999999997916,0.47433333333333333,0.1794871794871657,0.055055668225818415,0.18918918918918406,0.499999999999875,0.6428571428570969,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
en,0.960780268318907,4,0.4263689143596249,0,1,"religion, faith, religious belief",26,3,7,9.666666666666666,0.6466666666666666,4.72e-05,2.3333333333333335,0.6666666666665999,0.6466666666666666,0.1904761904761633,0.09722376312726358,0.12999999999999937,0.18181818181816528,0.28571428571427215,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
nb,0.8714862181127283,4,0.235208141768469,1,0,"religion, faith, religious belief",0,1,1,3.0,0.446,0.000324,1.0,0.0,0.446,0.0,0.4681639002255767,0.0,0.0,0.0,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
en,0.9533069536680374,4,0.46597047950884907,0,1,"dramatic art, theatre, theater",1,5,10,8.666666666666666,0.4116666666666666,2.6066666666666662e-05,2.3333333333333335,0.5666666666666099,0.4116666666666666,0.1904761904761633,0.05032437499465677,0.004999999999999975,0.36363636363633056,0.4285714285714082,dramatic art,the art of writing and producing plays,i73479
it,0.9261976018782558,4,0.28198155784781953,0,1,"dramatic art, theatre, theater",0,2,9,10.0,0.6076666666666667,3.159666666666667e-05,3.3333333333333335,0.5714285714285307,0.6076666666666667,0.11827956989246549,0.03203747998841593,0.0,0.09090909090908264,0.1093749999999983,dramatic art,the art of writing and producing plays,i73479
es,0.9159320387311861,4,0.4749724026516116,0,1,"dramatic art, theatre, theater",1,1,6,6.0,0.202,6.76e-05,6.0,0.33333333333330556,0.202,0.38461538461535505,0.08419803182576097,0.027027027027026296,0.0,0.3571428571428316,dramatic art,the art of writing and producing plays,i73479
nb,0.8326443506228007,4,0.23565087790093917,0,1,"dramatic art, theatre, theater",0,1,1,6.0,0.205,1.7e-05,1.0,0.37499999999995315,0.205,0.0,0.02448541602158356,0.0,0.0,0.0,dramatic art,the art of writing and producing plays,i73479
en,0.9621536264317251,4,0.5057219456983384,1,0,"wave, moving ridge",13,2,10,8.0,0.528,2.67e-05,5.0,0.49999999999995,0.528,0.5714285714284898,0.05172987716266866,0.06499999999999968,0.09090909090908264,0.4285714285714082,wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
nb,0.961737531283689,4,0.5449270692249762,0,1,"wave, moving ridge",0,3,7,5.666666666666667,0.5656666666666667,7.2933333333333335e-06,2.3333333333333335,0.3333333333332917,0.5656666666666667,0.1481481481481317,0.01045727545695785,0.0,0.6666666666664445,0.4999999999999583,wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
it,0.9000069634957544,4,0.3159003907224915,0,1,"wave, moving ridge",10,2,8,5.0,0.476,2.4006e-05,4.0,0.21428571428569898,0.476,0.16129032258063475,0.02408052276068484,0.13698630136986115,0.09090909090908264,0.09374999999999854,wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
es,0.6974305693244687,4,0.14807812392488817,0,0,"wave, moving ridge",4,1,4,3.0,0.18,1.62e-05,4.0,0.08333333333332639,0.18,0.23076923076921302,0.018595806028518073,0.10810810810810519,0.0,0.21428571428569898,wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
nb,0.9939994648684088,4,0.9529583716460803,1,1,party,0,3,13,5.666666666666667,0.6749999999999999,4.47e-05,4.333333333333333,0.3333333333332917,0.6749999999999999,0.37037037037032916,0.06451764407516862,0.0,0.6666666666664445,0.9999999999999166,party,an occasion on which people can assemble for social interaction and entertainment,i75850
en,0.9802008547518399,4,0.6635241358793764,1,1,party,11,1,5,5.0,0.207,0.000309,5.0,0.19999999999998,0.207,0.5714285714284898,0.678213975104383,0.05499999999999973,0.0,0.19047619047618142,party,an occasion on which people can assemble for social interaction and entertainment,i75850
it,0.9715856054774403,4,0.5509448002197499,1,1,party,4,3,12,7.0,0.5706666666666667,4.88e-05,4.0,0.3571428571428316,0.5706666666666667,0.16129032258063475,0.05007096683731814,0.05479452054794446,0.18181818181816528,0.15624999999999759,party,an occasion on which people can assemble for social interaction and entertainment,i75850
es,0.9423582464357332,4,0.4312574175776804,1,0,party,5,1,4,6.0,0.758,9.77e-05,4.0,0.33333333333330556,0.758,0.23076923076921302,0.12261489946188957,0.13513513513513148,0.0,0.21428571428569898,party,an occasion on which people can assemble for social interaction and entertainment,i75850
es,0.9774778762802252,4,0.740557303765911,1,1,breakfast,0,2,6,8.0,0.487,1.925e-05,3.0,0.4999999999999583,0.487,0.153846153846142,0.02248854510792645,0.0,0.2499999999999375,0.3571428571428316,breakfast,the first meal of the day (usually in the morning),i76564
en,0.9286940032905893,4,0.24494929670696633,0,1,breakfast,2,1,1,9.0,0.874,4.07e-05,1.0,0.59999999999994,0.874,0.0,0.08279887245556275,0.00999999999999995,0.0,0.0,breakfast,the first meal of the day (usually in the morning),i76564
nb,0.917374056939171,4,0.23891536028516747,0,1,breakfast,0,1,1,7.0,0.871,2.51e-05,1.0,0.4999999999999375,0.871,0.0,0.03619159101198208,0.0,0.0,0.0,breakfast,the first meal of the day (usually in the morning),i76564
it,0.8038156873627367,4,0.02908797690550222,0,0,breakfast,0,2,4,12.0,0.5015000000000001,3.93e-05,2.0,0.7142857142856632,0.5015000000000001,0.03225806451612695,0.04011254065646728,0.0,0.09090909090908264,0.031249999999999514,breakfast,the first meal of the day (usually in the morning),i76564
nb,0.9806561230164235,4,0.6491367001544454,1,1,pastry,1,2,3,5.5,0.8415,1.13295e-05,1.5,0.3124999999999609,0.8415,0.055555555555549384,0.01629037092491013,0.19999999999996,0.33333333333322224,0.16666666666665278,pastry,any of various baked foods made of dough or batter,i76902
es,0.855617249955654,4,0.1438697379302765,0,0,pastry,8,2,2,8.0,0.7415,1.795e-06,1.0,0.4999999999999583,0.7415,0.0,0.00021059080265651913,0.21621621621621037,0.2499999999999375,0.07142857142856633,pastry,any of various baked foods made of dough or batter,i76902
en,0.7705600397169857,4,0.06319315710920101,0,0,pastry,17,1,2,6.0,0.636,3.39e-06,2.0,0.29999999999997,0.636,0.14285714285712245,0.0,0.08499999999999958,0.0,0.047619047619045354,pastry,any of various baked foods made of dough or batter,i76902
it,0.6788320790910182,4,0.05553334562636151,0,0,pastry,7,1,4,5.0,0.206,3.89e-05,4.0,0.21428571428569898,0.206,0.16129032258063475,0.03969323850148408,0.0958904109589028,0.0,0.031249999999999514,pastry,any of various baked foods made of dough or batter,i76902
en,0.9079219078834154,4,0.3885888865438584,0,1,"gammon, jambon, ham",2,3,7,5.0,0.418,4.522233333333333e-06,2.3333333333333335,0.19999999999998,0.418,0.1904761904761633,0.00251266800741365,0.00999999999999995,0.18181818181816528,0.28571428571427215,gammon,meat cut from the thigh of a hog (usually smoked),i77246
it,0.798115729789694,4,0.0,0,0,"gammon, jambon, ham",0,1,2,10.0,0.764,7.59e-06,2.0,0.5714285714285307,0.764,0.03225806451612695,0.0068723623201745535,0.0,0.0,0.0,gammon,meat cut from the thigh of a hog (usually smoked),i77246
nb,0.7407362791024327,4,0.0003421801203922668,0,0,"gammon, jambon, ham",0,1,1,6.0,0.669,4.07e-06,1.0,0.37499999999995315,0.669,0.0,0.00579889224061408,0.0,0.0,0.0,gammon,meat cut from the thigh of a hog (usually smoked),i77246
es,0.6102016892710178,2,0.0,0,0,"gammon, jambon, ham",0,1,1,5.0,0.191,7.24e-06,1.0,0.24999999999997916,0.191,0.0,0.007160087290321646,0.0,0.0,0.0,gammon,meat cut from the thigh of a hog (usually smoked),i77246
es,0.9310343561855341,4,0.5669059219952395,0,1,"bean, edible bean",1,2,9,5.5,0.1905,3.851e-06,4.5,0.29166666666664237,0.1905,0.2692307692307485,0.0028346798345462347,0.027027027027026296,0.2499999999999375,0.5714285714285307,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
it,0.9138189498983463,4,0.2521364157185937,1,0,"bean, edible bean",0,1,4,7.0,0.811,1.51e-06,4.0,0.3571428571428316,0.811,0.16129032258063475,0.000498969564430001,0.0,0.0,0.031249999999999514,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
en,0.8178007635597531,4,0.11849995864859234,0,0,"bean, edible bean",3,2,5,7.5,0.5345,6.25e-06,2.5,0.449999999999955,0.5345,0.21428571428568366,0.006346951895548364,0.014999999999999925,0.09090909090908264,0.19047619047618142,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
nb,0.7113127177821795,4,2.9404013262368453e-05,0,0,"bean, edible bean",0,1,1,5.0,0.651,5.89e-07,1.0,0.24999999999996875,0.651,0.0,0.000768127408320594,0.0,0.0,0.0,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
en,0.9147067196428812,4,0.3109038509831929,0,1,cheese,26,1,2,6.0,0.677,3.72e-05,2.0,0.29999999999997,0.677,0.14285714285712245,0.07503162363233923,0.12999999999999937,0.0,0.047619047619045354,cheese,a solid food prepared from the pressed curd of milk,i78427
nb,0.9099336182587447,4,0.3338245753517174,0,1,cheese,0,2,2,5.5,0.569,1.02e-05,1.0,0.3124999999999609,0.569,0.0,0.014658009856804561,0.0,0.33333333333322224,0.08333333333332639,cheese,a solid food prepared from the pressed curd of milk,i78427
es,0.8307595065361062,4,0.2970271855911325,0,1,cheese,4,1,1,5.0,0.199,2.82e-05,1.0,0.24999999999997916,0.199,0.0,0.033911500767173995,0.10810810810810519,0.0,0.0,cheese,a solid food prepared from the pressed curd of milk,i78427
it,0.789964548320252,4,0.05627485555129744,0,0,cheese,10,2,4,7.0,0.667,9.7775e-06,2.0,0.3571428571428316,0.667,0.03225806451612695,0.009165420980238898,0.13698630136986115,0.09090909090908264,0.031249999999999514,cheese,a solid food prepared from the pressed curd of milk,i78427
nb,0.9465765172999723,4,0.5295650280262842,0,1,beer,0,4,4,3.6666666666666665,0.5063333333333333,2.4230333333333334e-05,1.0,0.08333333333332289,0.5063333333333333,0.0,0.03493474284120225,0.0,0.9999999999996666,0.24999999999997916,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
es,0.7788436124466351,4,0.0319610716357262,0,0,beer,4,1,1,7.0,0.694,3.31e-05,1.0,0.41666666666663194,0.694,0.0,0.040165409452125156,0.10810810810810519,0.0,0.0,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
it,0.6424583067421307,3,0.023109325932678473,0,0,beer,2,1,3,5.0,0.195,3.63e-05,3.0,0.21428571428569898,0.195,0.09677419354838085,0.036967774494093324,0.02739726027397223,0.0,0.015624999999999757,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
en,0.612221414240937,2,0.004068844789779864,0,0,beer,4,1,1,4.0,0.233,5.01e-05,1.0,0.09999999999999,0.233,0.0,0.10365948358079163,0.0199999999999999,0.0,0.0,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
nb,0.9124044605785018,4,0.36668454605350964,0,1,"wine, vino",0,2,3,5.0,0.511,1.86e-05,1.5,0.24999999999996875,0.511,0.055555555555549384,0.026797746883884505,0.0,0.33333333333322224,0.16666666666665278,wine,fermented juice (of grapes especially),i78715
en,0.8479012973069381,4,0.3209200200973139,0,1,"wine, vino",24,2,3,4.0,0.1865,2.77945e-05,1.5,0.09999999999999,0.1865,0.07142857142856122,0.05415880683038812,0.1199999999999994,0.09090909090908264,0.09523809523809071,wine,fermented juice (of grapes especially),i78715
es,0.8411987789160663,4,0.3192877477296367,0,1,"wine, vino",7,1,1,4.0,0.197,9.12e-05,1.0,0.16666666666665278,0.197,0.0,0.1143188981451176,0.18918918918918406,0.0,0.0,wine,fermented juice (of grapes especially),i78715
it,0.8408579207778853,4,0.26831306721616677,0,1,"wine, vino",17,1,2,4.0,0.19,6.46e-05,2.0,0.14285714285713266,0.19,0.03225806451612695,0.0666334019591543,0.23287671232876395,0.0,0.0,wine,fermented juice (of grapes especially),i78715
en,0.9349097184196604,4,0.42137149093799725,0,1,"java, coffee",13,2,7,5.0,0.582,4.12e-05,3.5,0.19999999999998,0.582,0.35714285714280614,0.08390847943030896,0.06499999999999968,0.09090909090908264,0.28571428571427215,java,a beverage consisting of an infusion of ground coffee beans,i78981
nb,0.9170551916113471,4,0.33484261472407695,0,1,"java, coffee",0,2,2,5.0,0.6965,2.76145e-05,1.0,0.24999999999996875,0.6965,0.0,0.0398255634827669,0.0,0.33333333333322224,0.08333333333332639,java,a beverage consisting of an infusion of ground coffee beans,i78981
it,0.8043579649048245,4,0.12961973084540188,0,0,"java, coffee",8,1,8,5.0,0.507,6.76e-05,8.0,0.21428571428569898,0.507,0.41935483870965035,0.06977816812152826,0.10958904109588892,0.0,0.09374999999999854,java,a beverage consisting of an infusion of ground coffee beans,i78981
es,0.7488515226463155,4,0.17395921922283789,0,0,"java, coffee",2,1,5,4.0,0.198,6.46e-05,5.0,0.16666666666665278,0.198,0.307692307692284,0.08036910814109698,0.05405405405405259,0.0,0.2857142857142653,java,a beverage consisting of an infusion of ground coffee beans,i78981
en,0.8900795008169959,4,0.4163182991243632,0,1,tea,5,1,5,3.0,0.193,5.37e-05,5.0,0.0,0.193,0.5714285714284898,0.1116486537989644,0.024999999999999876,0.0,0.19047619047618142,tea,a beverage made by steeping tea leaves in water,i79004
nb,0.8862249648901785,4,0.33363693691538415,0,1,tea,0,2,2,4.0,0.481,2.087185e-05,1.0,0.12499999999998437,0.481,0.0,0.030081039927333495,0.0,0.33333333333322224,0.08333333333332639,tea,a beverage made by steeping tea leaves in water,i79004
it,0.8406595311202554,4,0.3019372535327471,1,0,tea,2,2,9,2.5,0.197,9.810000000000001e-06,4.5,0.035714285714283166,0.197,0.1935483870967617,0.00919948928033128,0.02739726027397223,0.09090909090908264,0.1093749999999983,tea,a beverage made by steeping tea leaves in water,i79004
es,0.6661647921764641,4,0.12629610121579649,0,0,tea,1,1,4,2.0,0.196,1.95e-05,4.0,0.0,0.196,0.23076923076921302,0.022807622081648448,0.027027027027026296,0.0,0.21428571428569898,tea,a beverage made by steeping tea leaves in water,i79004
it,0.9966344200999016,4,0.9999999999997822,1,1,"sept, family, family line",4,12,66,6.0,0.5353333333333333,0.00027583333333333333,9.666666666666666,0.2857142857142653,0.5353333333333333,0.5268817204300735,0.28805988163652946,0.05479452054794446,0.9999999999999091,0.9999999999999845,sept,people descended from a common ancestor,i79200
en,0.9929230942738472,4,0.8910558286260591,1,1,"sept, family, family line",5,7,18,7.0,0.2996666666666667,0.00022113333333333333,3.6666666666666665,0.39999999999996,0.2996666666666667,0.38095238095232653,0.48321904274231436,0.024999999999999876,0.5454545454544959,0.809523809523771,sept,people descended from a common ancestor,i79200
nb,0.9897905164612864,4,0.7759183934088122,1,1,"sept, family, family line",1,3,5,6.333333333333333,0.8099999999999999,5.087066666666667e-05,1.6666666666666667,0.41666666666661456,0.8099999999999999,0.07407407407406585,0.07343553343410925,0.19999999999996,0.6666666666664445,0.33333333333330556,sept,people descended from a common ancestor,i79200
es,0.945008769574059,4,0.5560576998709293,1,0,"sept, family, family line",3,2,8,6.5,0.19,0.000171785,4.0,0.37499999999996875,0.19,0.23076923076921302,0.2171701698546666,0.08108108108107888,0.2499999999999375,0.4999999999999643,sept,people descended from a common ancestor,i79200
