easy_sense_easy_lex,complex_sense_complex_lex,easy_sense_complex_lex,complex_sense_easy_lex
bn:00015267n,bn:00006648n,bn:00045744n,bn:00028823n
bn:00007309n,bn:00060441n,bn:00032381n,bn:00050673n
bn:00005054n,bn:00060287n,bn:00077602n,bn:00047012n
bn:00042379n,bn:00015198n,bn:00078920n,bn:00009314n
bn:00045705n,bn:00062042n,bn:00029419n,bn:00011902n
bn:00060935n,bn:00074236n,bn:00013104n,bn:00019429n
