easy_sense_easy_lex,complex_sense_complex_lex,easy_sense_complex_lex,complex_sense_easy_lex
dog,astrolabe,refrigerator,drone
car,pantograph,photograph,lens
apple,palimpsest,toothbrush,chip
water,candelabrum,umbrella,beam
ice,gramophone,headphones,bolt
pasta,stethoscope,briefcase,kin
