model,kappa,agreement_pct
Claude-3.7-Sonnet,0.7440720288028244,84.52777777777777
DeepSeek-R1,0.7536324715511286,92.63888888888889
GPT-4o,0.6536638344628306,80.6388888888889
GPT-o1,0.45351256347619523,70.36111111111111
GPT-o3-mini-high,0.4962354708181766,76.3611111111111
Gemini-2.0-Flash,0.3878649254483687,63.19444444444444
Grok-2,0.5193879698202225,75.02777777777779
LLama-3-70B,0.4692964066282758,68.52777777777777
Mistral-Medium,0.6393104435016004,77.16666666666667
