,en,it,es,nb
avg_word_length,0.1439770256511786,0.00010545419000669261,0.00027622871234684183,0.00013519589170650774
avg_word_frequency,2.664831100899772e-06,6.761378741573763e-05,0.00028955811458155397,2.9212802563649296e-09
n_hyponyms,0.15343231064904572,0.0014135281497376613,0.006276988907206348,0.48404544421457313
n_synonyms,0.05697687081345162,0.07810416189815113,0.044282528492350835,0.8963353446126473
avg_n_senses,0.5185084952063416,0.4417906870201921,0.7795789302467021,0.043523762386262405
n_syn_senses,0.06353922413261721,0.418706343815737,0.15415638382554442,0.12734468198710464
word_in_children_res,0.018649237830697125,0.0036643813779945744,0.02837816840225894,0.0077343712823728945
word_in_second_lang_learn_res,0.0013513889331594365,0.0002526404350208272,0.12687571652883595,6.7463540395694e-07
