lang1,lang2,kappa,correlation,binary_kappa,binary_agreement,mse,n_items
it,nb,0.4951022592428861,0.703856406400075,0.05839746491625164,0.9071428571428571,0.19841269841269843,560
it,en,0.625910442615179,0.5823154413136734,0.08077753779697605,0.9321428571428572,0.19404761904761908,560
it,es,0.09261812257175084,0.18991058194592547,-0.0034895784212014558,0.9321428571428572,0.4932539682539684,560
nb,en,0.3753526764038161,0.32370055865440805,0.14146341463414636,0.9607142857142857,0.31150793650793646,560
nb,es,0.03878556918570775,-0.04790964696412858,0.08779931584948675,0.9642857142857143,0.5051587301587301,560
en,es,0.13839526117393652,0.48113953211057314,-0.0029850746268655914,0.9892857142857143,0.28253968253968254,560
