model,avg_kappa,avg_correlation,avg_binary_agreement
gpt_4o,0.34225383172955304,0.6375178486601151,0.878125
gpt_o3_mini_high,0.33956434609501535,0.5943707801305799,0.8937499999999999
claude_3_7_sonnet,0.31205864018578056,0.5854134759080115,0.8640625
gemini_2_0_flash,0.31159009920898617,0.6942992943266175,0.84375
grok_2,0.307341645254125,0.6557625385649128,0.875
gpt_o1,0.275054000633031,0.6429536073294366,0.8
deepseek_r1,0.2503760265292184,0.5596737576255559,0.871875
mistral_medium,0.24843734226483388,0.4944703832002009,0.8578125
llama_3_70b,0.23152787304358277,0.43946610440476136,0.878125
